league,link
England - Premier League,https://www.pinnacle.com/en/soccer/england-premier-league/matchups
Germany - Bundesliga,https://www.pinnacle.com/en/soccer/germany-bundesliga/matchups
Italy - Serie A,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups
Spain - La Liga,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups
UEFA - Champions League,https://www.pinnacle.com/en/soccer/uefa-champions-league/matchups
UEFA - Europa League,https://www.pinnacle.com/en/soccer/uefa-europa-league/matchups
Albania - Superliga,https://www.pinnacle.com/en/soccer/albania-superliga/matchups
Algeria - Cup,https://www.pinnacle.com/en/soccer/algeria-cup/matchups
Argentina - Copa de la Liga Profesional,https://www.pinnacle.com/en/soccer/argentina-copa-de-la-liga-profesional/matchups
Argentina - Primera B Metropolitana,https://www.pinnacle.com/en/soccer/argentina-primera-b-metropolitana/matchups
Argentina - Primera B Nacional,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups
Argentina - Primera C Metropolitana,https://www.pinnacle.com/en/soccer/argentina-primera-c-metropolitana/matchups
Argentina - Torneo Federal A,https://www.pinnacle.com/en/soccer/argentina-torneo-federal-a/matchups
Australia - A League,https://www.pinnacle.com/en/soccer/australia-a-league/matchups
Australia - National Youth League,https://www.pinnacle.com/en/soccer/australia-national-youth-league/matchups
Australia - NPL Capital Territory,https://www.pinnacle.com/en/soccer/australia-npl-capital-territory/matchups
Australia - NPL New South Wales,https://www.pinnacle.com/en/soccer/australia-npl-new-south-wales/matchups
Australia - NPL Northern NSW,https://www.pinnacle.com/en/soccer/australia-npl-northern-nsw/matchups
Australia - NPL Victoria,https://www.pinnacle.com/en/soccer/australia-npl-victoria/matchups
Austria - Bundesliga,https://www.pinnacle.com/en/soccer/austria-bundesliga/matchups
Austria - Erste Liga,https://www.pinnacle.com/en/soccer/austria-erste-liga/matchups
Austria - Frauen Bundesliga,https://www.pinnacle.com/en/soccer/austria-frauen-bundesliga/matchups
Azerbaijan - Premier League,https://www.pinnacle.com/en/soccer/azerbaijan-premier-league/matchups
Bahrain - Premier League,https://www.pinnacle.com/en/soccer/bahrain-premier-league/matchups
Belarus - Premier League,https://www.pinnacle.com/en/soccer/belarus-premier-league/matchups
Belgium - First Division A,https://www.pinnacle.com/en/soccer/belgium-first-division-a/matchups
Bolivia - Primera Division,https://www.pinnacle.com/en/soccer/bolivia-primera-division/matchups
Bosnia and Herzegovina  - Premier Liga,https://www.pinnacle.com/en/soccer/bosnia-and-herzegovina-premier-liga/matchups
Bosnia and Herzegovina - 1st League,https://www.pinnacle.com/en/soccer/bosnia-and-herzegovina-1st-league/matchups
Brazil - Alagoano,https://www.pinnacle.com/en/soccer/brazil-alagoano/matchups
Brazil - Brasileiro Women,https://www.pinnacle.com/en/soccer/brazil-brasileiro-women/matchups
Brazil - Carioca,https://www.pinnacle.com/en/soccer/brazil-carioca/matchups
Brazil - Cearense,https://www.pinnacle.com/en/soccer/brazil-cearense/matchups
Brazil - Copa Do Nordeste,https://www.pinnacle.com/en/soccer/brazil-copa-do-nordeste/matchups
Brazil - Gaucho,https://www.pinnacle.com/en/soccer/brazil-gaucho/matchups
Brazil - Maranhense ,https://www.pinnacle.com/en/soccer/brazil-maranhense-1/matchups
Brazil - Mineiro,https://www.pinnacle.com/en/soccer/brazil-mineiro/matchups
Brazil - Paraibano,https://www.pinnacle.com/en/soccer/brazil-paraibano/matchups
Brazil - Paranaense,https://www.pinnacle.com/en/soccer/brazil-paranaense/matchups
Brazil - Potiguar,https://www.pinnacle.com/en/soccer/brazil-potiguar/matchups
Brazil - Sergipano,https://www.pinnacle.com/en/soccer/brazil-sergipano/matchups
Bulgaria - First League,https://www.pinnacle.com/en/soccer/bulgaria-first-league/matchups
Chile - Primera Division,https://www.pinnacle.com/en/soccer/chile-primera-division/matchups
China - Super League,https://www.pinnacle.com/en/soccer/china-super-league/matchups
Club Friendlies,https://www.pinnacle.com/en/soccer/club-friendlies/matchups
CONMEBOL - Copa America,https://www.pinnacle.com/en/soccer/conmebol-copa-america/matchups
CONMEBOL - Copa Libertadores,https://www.pinnacle.com/en/soccer/conmebol-copa-libertadores/matchups
CONMEBOL - Copa Sudamericana,https://www.pinnacle.com/en/soccer/conmebol-copa-sudamericana/matchups
Croatia - 1. HNL,https://www.pinnacle.com/en/soccer/croatia-1-hnl/matchups
Croatia - 3. HNL,https://www.pinnacle.com/en/soccer/croatia-3-hnl/matchups
Czech Republic - Czech Liga,https://www.pinnacle.com/en/soccer/czech-republic-czech-liga/matchups
Denmark - Cup,https://www.pinnacle.com/en/soccer/denmark-cup/matchups
Denmark - Division ,https://www.pinnacle.com/en/soccer/denmark-division-1/matchups
Denmark - Superliga,https://www.pinnacle.com/en/soccer/denmark-superliga/matchups
Ecuador - Serie A,https://www.pinnacle.com/en/soccer/ecuador-serie-a/matchups
Egypt - Premier League,https://www.pinnacle.com/en/soccer/egypt-premier-league/matchups
El Salvador - Primera Division,https://www.pinnacle.com/en/soccer/el-salvador-primera-division/matchups
El Salvador - Reserve League,https://www.pinnacle.com/en/soccer/el-salvador-reserve-league/matchups
England - FA Cup,https://www.pinnacle.com/en/soccer/england-fa-cup/matchups
England - League ,https://www.pinnacle.com/en/soccer/england-league-1/matchups
England - National League,https://www.pinnacle.com/en/soccer/england-national-league/matchups
Estonia - Meistriliiga,https://www.pinnacle.com/en/soccer/estonia-meistriliiga/matchups
Faroe Islands - Meistaradeildin,https://www.pinnacle.com/en/soccer/faroe-islands-meistaradeildin/matchups
Faroe Islands - Premier League,https://www.pinnacle.com/en/soccer/faroe-islands-premier-league/matchups
FIFA - World Cup,https://www.pinnacle.com/en/soccer/fifa-world-cup/matchups
Finland - Kakkonen,https://www.pinnacle.com/en/soccer/finland-kakkonen/matchups
Finland - Veikkausliiga,https://www.pinnacle.com/en/soccer/finland-veikkausliiga/matchups
Finland - Ykkonen,https://www.pinnacle.com/en/soccer/finland-ykkonen/matchups
France - Cup,https://www.pinnacle.com/en/soccer/france-cup/matchups
France - Ligue ,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups
France - Ligue ,https://www.pinnacle.com/en/soccer/france-ligue-2/matchups
Georgia - Erovnuli Liga,https://www.pinnacle.com/en/soccer/georgia-erovnuli-liga/matchups
Germany - Bundesliga ,https://www.pinnacle.com/en/soccer/germany-bundesliga-2/matchups
Germany - Bundesliga ,https://www.pinnacle.com/en/soccer/germany-bundesliga-3/matchups
Germany - Cup,https://www.pinnacle.com/en/soccer/germany-cup/matchups
Gibraltar - Premier Division,https://www.pinnacle.com/en/soccer/gibraltar-premier-division/matchups
Greece - Super League,https://www.pinnacle.com/en/soccer/greece-super-league/matchups
Guatemala - Liga Nacional,https://www.pinnacle.com/en/soccer/guatemala-liga-nacional/matchups
Honduras - Liga Nacional,https://www.pinnacle.com/en/soccer/honduras-liga-nacional/matchups
Hungary - NB ,https://www.pinnacle.com/en/soccer/hungary-nb-1/matchups
Iceland - Premier League,https://www.pinnacle.com/en/soccer/iceland-premier-league/matchups
Iran - Azadegan League,https://www.pinnacle.com/en/soccer/iran-azadegan-league/matchups
Iran - Pro League,https://www.pinnacle.com/en/soccer/iran-pro-league/matchups
Ireland - National League Women,https://www.pinnacle.com/en/soccer/ireland-national-league-women/matchups
Ireland - Premier,https://www.pinnacle.com/en/soccer/ireland-premier/matchups
Israel - Liga Bet,https://www.pinnacle.com/en/soccer/israel-liga-bet/matchups
Israel - Premier League,https://www.pinnacle.com/en/soccer/israel-premier-league/matchups
Italy - Cup,https://www.pinnacle.com/en/soccer/italy-cup/matchups
Italy - Primavera,https://www.pinnacle.com/en/soccer/italy-primavera/matchups
Italy - Serie B,https://www.pinnacle.com/en/soccer/italy-serie-b/matchups
Italy - Serie C,https://www.pinnacle.com/en/soccer/italy-serie-c/matchups
Italy - Serie D Group C,https://www.pinnacle.com/en/soccer/italy-serie-d-group-c/matchups
Italy - Serie D Group H,https://www.pinnacle.com/en/soccer/italy-serie-d-group-h/matchups
Japan - J League,https://www.pinnacle.com/en/soccer/japan-j-league/matchups
Japan - J2 League,https://www.pinnacle.com/en/soccer/japan-j2-league/matchups
Japan - Nadeshiko League Women,https://www.pinnacle.com/en/soccer/japan-nadeshiko-league-women/matchups
Jordan - Pro League,https://www.pinnacle.com/en/soccer/jordan-pro-league/matchups
Korea Republic - K League ,https://www.pinnacle.com/en/soccer/korea-republic-k-league-1/matchups
